ParameterName,MinValue,MaxValue, Startvalue
crop,0.8,1.8,1.1
snowfactor,1.0,1.6,1.26
pref,0.5,8,6.6
arnoB,0.01,1,0.03
interF,0.33,2,0.6
reces,1,10,2.42
CCM,0.1,10,5.0
lakeAFactor,0.333,3,1.0
ksatfact, 0.66,1.33,1.0
normalStor,0.15,0.8,0.65
snowMelt,0.002,0.006,0.004
soilfactor,0.8,1.3,1.0
runoff,0.33,3.0,1.0
No,1,100,1
