Timeseries,settingsfile: D:\DRBWBM\DWB_CWatM_S\Tisa\settings_projections\isimip_historical\settings_tisa_isimip_hist.ini,Runnning date: Tue Dec 16 18:37:34 2025,CWATM: D:\DRBWBM\DWB_CWatM_S\CWatM_fromGitHub\CWatM\cwatm\run_cwatm.py Git-Branch:develop Hash:b703e486287fb4c64e0574f3adeade04f10cbdb0
xloc,22.3420,22.3250,21.9080,21.8250,21.4080,20.7740,20.9420,21.0910,20.2080,21.1420,20.1960,20.2080,20.0911
yloc,48.0910,48.1250,48.5240,48.4910,48.1410,48.2250,48.0070,47.9400,47.1900,47.0070,46.7400,46.2400,45.9416
Date,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13
01/01/1990,   16.8581,   5.78194,   7.41784,   4.90893,    24.058,  0.573464,   6.42336,   8.68075,   2.26597,   3.22395,   28.3373,   31.9751,   224.273
02/01/1990,   16.4714,   5.49279,   7.52398,   4.82533,   22.8455,  0.570845,   6.30921,   8.39404,   1.53231,   3.22012,   29.5779,   34.5917,   227.197
03/01/1990,   16.3144,   5.33209,   7.70538,   4.73675,    21.939,  0.570494,   6.15868,   8.22136,   1.31374,   3.43515,   28.6663,   35.1059,    231.86
04/01/1990,   16.1277,   5.22447,   7.48465,   4.64931,   21.3292,  0.562933,   6.00691,   8.01758,   1.44131,   3.74163,   29.2003,   36.0841,    230.68
05/01/1990,   15.7888,   6.76149,   7.07482,   4.67425,   22.9475,   0.95206,   6.85174,    13.671,   8.67745,   4.30884,   30.5164,   39.3748,   229.294
06/01/1990,   15.4334,   6.98765,   7.01411,   4.65806,   21.7865,  0.723154,   6.47582,   9.81097,   6.60012,    4.4472,   31.7073,   42.9622,   229.436
07/01/1990,   15.5434,   7.49112,   7.12714,   4.83991,   21.5947,  0.760876,   6.61849,   9.67703,   3.13339,   4.57458,   34.3567,   47.5478,   229.931
08/01/1990,   16.1488,   6.59491,   7.70255,   5.02683,   21.2156,  0.854463,   6.29345,    9.2562,   2.47524,   5.08584,   38.7419,   63.0433,   232.178
09/01/1990,   17.6903,    6.4382,   8.08497,    5.0808,   20.9144,  0.925623,   6.22033,   9.56857,   2.62897,   5.28564,   62.7749,   81.0732,   242.073
10/01/1990,   19.6552,   7.76101,   7.68068,   4.94679,   21.2028,  0.971441,   6.31116,   10.5974,   4.00059,   5.48644,   135.433,   79.3843,    253.82
11/01/1990,   19.9422,   9.33833,   7.21945,    4.7806,   21.6493,   1.01092,   6.49716,   11.5929,   3.82966,   5.20691,   123.142,   71.8085,   260.758
12/01/1990,   19.9151,   10.5886,   7.18398,   4.79416,   22.4904,   1.26169,   7.10148,   15.2228,   4.43619,   4.78021,   105.368,   63.3123,   269.286
13/01/1990,   20.9322,    10.407,   7.76955,   5.09523,   23.0127,   1.31339,   7.52522,   15.9814,   6.14149,    4.5716,   89.6391,   57.6436,   280.935
